player_name,max_sensitivity
John Isner,0.8280786712108251
Nick Kyrgios,0.9660917830792959
Reilly Opelka,0.6900655593423543
Hubert Hurkacz,0.9660917830792959
Matteo Berrettini,0.6900655593423543
Nicolas Jarry,0.7412493166611013
Novak Djokovic,0.6900655593423543
Maxime Cressy,0.8666666666666666
Ben Shelton,0.8280786712108251
Stefanos Tsitsipas,0.6900655593423541
Felix Auger-Aliassime,0.6900655593423543
Casper Ruud,0.7857142857142858
Daniil Medvedev,0.41403933560541256
Taylor Fritz,0.9660917830792959
Brandon Nakashima,0.9660917830792959
Marin Cilic,0.6900655593423541
Arthur Rinderknech,0.9285714285714286
Thiago Monteiro,0.9660917830792959
Alexander Zverev,0.8666666666666666
Andrey Rublev,0.6943650748294137
Denis Shapovalov,0.8280786712108251
Carlos Alcaraz,0.5520524474738834
Pablo Carreno Busta,0.9258200997725515
Rafael Nadal,0.9258200997725515
Borna Coric,0.9258200997725515
Steve Johnson,0.8280786712108251
Lorenzo Sonego,0.5520524474738833
Karen Khachanov,0.7453559924999299
Jack Draper,0.8666666666666666
Roberto Bautista Agut,0.6428571428571429
Grigor Dimitrov,0.6
Benjamin Bonzi,0.9999999999999999
Holger Rune,0.8280786712108251
Jannik Sinner,1.0
Jan-Lennard Struff,0.6236095644623236
Cameron Norrie,0.5520524474738834
Frances Tiafoe,0.8666666666666666
Tallon Griekspoor,0.7453559924999299
Miomir Kecmanovic,0.5
Alexander Bublik,0.9999999999999999
Adrian Mannarino,0.6900655593423541
Lorenzo Musetti,0.6428571428571429
Sebastian Korda,0.5520524474738833
Andy Murray,0.7142857142857143
Oscar Otte,0.6900655593423541
Laslo Djere,0.7333333333333333
Daniel Evans,0.8666666666666666
Tommy Paul,0.8666666666666666
Emil Ruusuvuori,0.7857142857142858
Dominic Thiem,0.8280786712108251
Mackenzie McDonald,0.5012804118276031
Ilya Ivashka,0.8666666666666666
Yoshihito Nishioka,0.9285714285714286
Filip Krajinovic,0.7857142857142858
Alex Molcan,0.6
Botic van de Zandschulp,0.592999453328881
Marcos Giron,0.9660917830792959
Sebastian Baez,0.7857142857142858
Marton Fucsovics,0.9660917830792959
Ugo Humbert,0.7333333333333333
Richard Gasquet,0.8666666666666666
Jenson Brooksby,0.9660917830792959
Alex de Minaur,0.9285714285714286
Jiri Lehecka,0.6900655593423543
J.J. Wolf,0.9999999999999999
Alejandro Davidovich Fokina,0.9660917830792959
Dusan Lajovic,0.6445033866354897
Albert Ramos-Vinolas,0.5520524474738833
Taro Daniel,0.8280786712108251
Mikael Ymer,0.9660917830792959
Soonwoo Kwon,0.8280786712108251
Joao Sousa,0.6
Jaume Munar,0.8666666666666666
Francisco Cerundolo,0.7333333333333333
Pedro Martinez,0.9309493362512627
Alejandro Tabilo,0.8666666666666666
David Goffin,0.8666666666666666
Aslan Karatsev,0.8666666666666666
Federico Delbonis,0.7333333333333333
Tomas Martin Etcheverry,0.8280786712108251
Federico Coria,0.6428571428571429
Diego Schwartzman,0.9999999999999999
Fabio Fognini,0.7333333333333333
Cristian Garin,0.6900655593423541
Bernabe Zapata Miralles,0.7333333333333333
Nikoloz Basilashvili,0.8666666666666666
