player_name,max_sensitivity
John Isner,0.7333333333333333
Nick Kyrgios,0.9999999999999999
Reilly Opelka,0.9999999999999999
Hubert Hurkacz,0.8666666666666666
Matteo Berrettini,0.8666666666666666
Nicolas Jarry,0.9999999999999999
Novak Djokovic,0.9999999999999999
Maxime Cressy,0.9999999999999999
Ben Shelton,0.8666666666666666
Stefanos Tsitsipas,0.7333333333333333
Felix Auger-Aliassime,0.8666666666666666
Casper Ruud,0.9999999999999999
Daniil Medvedev,0.8666666666666666
Taylor Fritz,0.9999999999999999
Brandon Nakashima,0.8666666666666666
Marin Cilic,0.9999999999999999
Arthur Rinderknech,0.8666666666666666
Thiago Monteiro,0.9999999999999999
Alexander Zverev,0.7333333333333333
Andrey Rublev,0.9660917830792959
Denis Shapovalov,0.8666666666666666
Carlos Alcaraz,0.9999999999999999
Pablo Carreno Busta,0.8666666666666666
Rafael Nadal,0.9999999999999999
Borna Coric,0.9999999999999999
Steve Johnson,0.9999999999999999
Lorenzo Sonego,0.7333333333333333
Karen Khachanov,0.6
Jack Draper,0.9660917830792959
Roberto Bautista Agut,0.7333333333333333
Grigor Dimitrov,0.8666666666666666
Benjamin Bonzi,0.9999999999999999
Holger Rune,0.9999999999999999
Jannik Sinner,0.7333333333333333
Jan-Lennard Struff,0.8666666666666666
Cameron Norrie,0.7333333333333333
Frances Tiafoe,0.9999999999999999
Tallon Griekspoor,0.8666666666666666
Miomir Kecmanovic,0.7333333333333333
Alexander Bublik,0.8666666666666666
Adrian Mannarino,0.8666666666666666
Lorenzo Musetti,0.7333333333333333
Sebastian Korda,0.4666666666666666
Andy Murray,0.8666666666666666
Oscar Otte,0.9999999999999999
Laslo Djere,0.8666666666666666
Daniel Evans,0.4666666666666666
Tommy Paul,0.4666666666666666
Emil Ruusuvuori,0.7333333333333333
Dominic Thiem,0.6
Mackenzie McDonald,0.9999999999999999
Ilya Ivashka,0.4666666666666666
Yoshihito Nishioka,0.8666666666666666
Filip Krajinovic,0.7333333333333333
Alex Molcan,0.8666666666666666
Botic van de Zandschulp,0.4666666666666666
Marcos Giron,0.8666666666666666
Sebastian Baez,0.9999999999999999
Marton Fucsovics,0.9999999999999999
Ugo Humbert,0.8666666666666666
Richard Gasquet,0.7333333333333333
Jenson Brooksby,0.9999999999999999
Alex de Minaur,0.9999999999999999
Jiri Lehecka,0.9999999999999999
J.J. Wolf,0.8666666666666666
Alejandro Davidovich Fokina,0.8666666666666666
Dusan Lajovic,0.9999999999999999
Albert Ramos-Vinolas,0.9999999999999999
Taro Daniel,0.6
Mikael Ymer,0.9999999999999999
Soonwoo Kwon,0.9999999999999999
Joao Sousa,0.8666666666666666
Jaume Munar,0.8666666666666666
Francisco Cerundolo,0.7333333333333333
Pedro Martinez,0.9999999999999999
Alejandro Tabilo,0.8666666666666666
David Goffin,0.9999999999999999
Aslan Karatsev,0.6
Federico Delbonis,0.9999999999999999
Tomas Martin Etcheverry,0.9999999999999999
Federico Coria,0.9999999999999999
Diego Schwartzman,0.9999999999999999
Fabio Fognini,0.8666666666666666
Cristian Garin,0.8666666666666666
Bernabe Zapata Miralles,0.9999999999999999
Nikoloz Basilashvili,0.8666666666666666
